site_no,gage_name,Date,year,month,day,cfs
08170000,San Marcos Springs,1957-07-31,1957,7,31,149
08170000,San Marcos Springs,1957-08-01,1957,8,1,146
08170000,San Marcos Springs,1957-08-02,1957,8,2,142
08170000,San Marcos Springs,1957-08-03,1957,8,3,142
08170000,San Marcos Springs,1957-08-04,1957,8,4,142
08170000,San Marcos Springs,1957-08-05,1957,8,5,142
08170000,San Marcos Springs,1957-08-06,1957,8,6,142
08170000,San Marcos Springs,1957-08-07,1957,8,7,142
08170000,San Marcos Springs,1957-08-08,1957,8,8,142
08170000,San Marcos Springs,1957-08-09,1957,8,9,138
08170000,San Marcos Springs,1957-08-10,1957,8,10,138
08170000,San Marcos Springs,1957-08-11,1957,8,11,138
08170000,San Marcos Springs,1957-08-12,1957,8,12,135
08170000,San Marcos Springs,1957-08-13,1957,8,13,135
08170000,San Marcos Springs,1957-08-14,1957,8,14,135
08170000,San Marcos Springs,1957-08-15,1957,8,15,138
08170000,San Marcos Springs,1957-08-16,1957,8,16,138
08170000,San Marcos Springs,1957-08-17,1957,8,17,135
08170000,San Marcos Springs,1957-08-18,1957,8,18,135
08170000,San Marcos Springs,1957-08-19,1957,8,19,135
08170000,San Marcos Springs,1957-08-20,1957,8,20,138
08170000,San Marcos Springs,1957-08-21,1957,8,21,138
08170000,San Marcos Springs,1957-08-22,1957,8,22,138
08170000,San Marcos Springs,1957-08-23,1957,8,23,132
08170000,San Marcos Springs,1957-08-24,1957,8,24,135
08170000,San Marcos Springs,1957-08-25,1957,8,25,135
08170000,San Marcos Springs,1957-08-26,1957,8,26,135
08170000,San Marcos Springs,1957-08-27,1957,8,27,132
08170000,San Marcos Springs,1957-08-28,1957,8,28,128
08170000,San Marcos Springs,1957-08-29,1957,8,29,124
08170000,San Marcos Springs,1957-08-30,1957,8,30,124
08170000,San Marcos Springs,1957-08-31,1957,8,31,124
08170000,San Marcos Springs,1957-09-01,1957,9,1,128
08170000,San Marcos Springs,1957-09-02,1957,9,2,128
08170000,San Marcos Springs,1957-09-03,1957,9,3,128
08170000,San Marcos Springs,1957-09-04,1957,9,4,132
08170000,San Marcos Springs,1957-09-05,1957,9,5,128
08170000,San Marcos Springs,1957-09-06,1957,9,6,128
08170000,San Marcos Springs,1957-09-07,1957,9,7,124
08170000,San Marcos Springs,1957-09-08,1957,9,8,128
08170000,San Marcos Springs,1957-09-09,1957,9,9,128
08170000,San Marcos Springs,1957-09-10,1957,9,10,128
08170000,San Marcos Springs,1957-09-11,1957,9,11,128
