date,val,site
2022-12-20,126,Comal
2022-12-19,128,Comal
2022-12-18,128,Comal
2022-12-17,127,Comal
2022-12-16,127,Comal
2022-12-15,126,Comal
2022-12-14,125,Comal
2022-12-13,123,Comal
2022-12-12,149,Comal
2022-12-11,147,Comal
2022-12-10,134,Comal
2022-12-09,130,Comal
2022-12-08,131,Comal
2022-12-07,132,Comal
2022-12-06,133,Comal
2022-12-05,134,Comal
2022-12-04,135,Comal
2022-12-03,133,Comal
2022-12-02,132,Comal
2022-12-01,131,Comal
2022-11-30,132,Comal
2022-11-29,132,Comal
2022-11-28,133,Comal
2022-11-27,134,Comal
2022-11-26,134,Comal
2022-11-25,135,Comal
2022-11-24,135,Comal
2022-11-23,132,Comal
2022-11-22,130,Comal
2022-11-21,127,Comal
2022-11-20,125,Comal
2022-11-19,122,Comal
2022-11-18,120,Comal
2022-11-17,117,Comal
2022-11-16,115,Comal
2022-11-15,114,Comal
2022-11-14,112,Comal
2022-11-13,111,Comal
2022-11-12,110,Comal
2022-11-11,112,Comal
2022-11-10,114,Comal
2022-11-09,113,Comal
2022-11-08,114,Comal
2022-11-07,116,Comal
2022-11-06,121,Comal
2022-11-05,116,Comal
2022-11-04,114,Comal
2022-11-03,109,Comal
2022-11-02,108,Comal
2022-11-01,107,Comal
2022-10-31,106,Comal
2022-10-30,105,Comal
2022-10-29,105,Comal
2022-10-28,104,Comal
2022-10-27,103,Comal
2022-10-26,102,Comal
2022-10-25,101,Comal
2022-10-24,99,Comal
2022-10-23,98,Comal
2022-10-22,97,Comal
2022-10-21,96,Comal
2022-10-20,94,Comal
2022-10-19,96,Comal
2022-10-18,94,Comal
2022-10-17,93,Comal
2022-10-16,94,Comal
2022-10-15,93,Comal
2022-10-14,93,Comal
2022-10-13,93,Comal
2022-10-12,93,Comal
2022-10-11,93,Comal
2022-10-10,92,Comal
2022-10-09,102,Comal
2022-10-08,92,Comal
2022-10-07,92,Comal
2022-10-06,96,Comal
2022-10-05,95,Comal
2022-10-04,94,Comal
2022-10-03,101,Comal
2022-10-02,104,Comal
2022-10-01,101,Comal
2022-09-30,100,Comal
2022-09-29,102,Comal
2022-09-28,103,Comal
2022-09-27,105,Comal
2022-09-26,106,Comal
2022-09-25,108,Comal
2022-09-24,110,Comal
2022-09-23,109,Comal
2022-09-22,110,Comal
2022-09-21,112,Comal
2022-09-20,113,Comal
2022-09-19,114,Comal
2022-09-18,118,Comal
2022-09-17,120,Comal
2022-09-16,118,Comal
2022-09-15,119,Comal
2022-09-14,121,Comal
2022-09-13,122,Comal
2022-09-12,124,Comal
2022-09-11,124,Comal
2022-09-10,123,Comal
2022-09-09,121,Comal
2022-09-08,121,Comal
2022-09-07,122,Comal
2022-09-06,122,Comal
2022-09-05,130,Comal
2022-09-04,126,Comal
