date,val,site
9/28/2024,86,San Marcos
9/28/2024,77,Comal
9/27/2024,629.13,J 17
9/27/2024,832.1,J 27
9/27/2024,85,San Marcos
9/27/2024,76,Comal
9/26/2024,629.06,J 17
9/26/2024,832.14,J 27
9/26/2024,86,San Marcos
9/26/2024,76,Comal
9/25/2024,629.2,J 17
9/25/2024,832.18,J 27
9/25/2024,86,San Marcos
9/25/2024,76,Comal
9/24/2024,629.39,J 17
9/24/2024,832.17,J 27
9/24/2024,87,San Marcos
9/24/2024,80,Comal
9/23/2024,629.43,J 17
9/23/2024,832.16,J 27
9/23/2024,87,San Marcos
9/23/2024,79,Comal
9/22/2024,629.59,J 17
9/22/2024,832.16,J 27
9/22/2024,88,San Marcos
9/22/2024,81,Comal
